Parameter,Prior
"$\mu_{E,a}$","$N_+(2500,500)$"
"$\sigma_{E,a}$","$N_+(500,1000)$"
$\delta_{\text{NG}}$,"$U(0,1)$"
$\mu_\psi$,"$U(0,1)$"
$\sigma_\psi$,"$N_+(0,1)$"
$\mu_{M_\text{max}}$,"$N(m_{M_\text{max}}, s_{M_\text{max}})$"
$\sigma_{M_\text{max}}$,"$N_+(0,3)$"
$\rho_M$,"$\text{PowerExp}_+(0,0.85,20)$"
$\sigma^\text{year}_M$,"$N_+(0,2)$"
$\sigma_M$,"$N_+(0,2)$"
$\mu_{MS}$,"$U(0,1)$"
$\rho_{MS}$,"$\text{PowerExp}_+(0,0.85,20)$"
$\sigma^\text{year}_{MS}$,"$N_+(0,2)$"
$\sigma_{MS}$,"$N_+(0,2)$"
$\boldsymbol{\sigma}^\text{pop}_\mathbf{p}$,"$N_+(0,2)$"
$\boldsymbol{\sigma}_\mathbf{p}$,"$N_+(0,2)$"
$\mathbf{L}_\mathbf{p}^\text{pop}$,$\text{LKJ}(1)$
$\mathbf{L}_\mathbf{p}$,$\text{LKJ}(1)$
$\mu_\text{F}$,"$U(0,1)$"
$\sigma^\text{pop}_\text{F}$,"$N_+(0,2)$"
$\sigma_\text{F}$,"$N_+(0,2)$"
$\mu_{\tau_M}$,"$N(0,1)$"
$\sigma_{\tau_M}$,"$N_+(0,5)$"
$\mu_{\tau_S}$,"$N(0,1)$"
$\sigma_{\tau_S}$,"$N_+(0,5)$"
