"pop","year","S_obs","tau_S_obs","S","f","E_hat","M0_obs","tau_M0_obs","M0","downstream_trap","M0_downstream","M0_div_E_hat"
"Duncan Channel",2002,65,NA,63.2917959762233,2779.55725769949,80156.3292974544,25478,NA,25971.6677368418,NA,25971.6677368418,0.323012732033992
"Duncan Channel",2003,54,NA,54.7284742230067,2781.65674845137,79943.3309863531,45450,NA,40344.8025480221,NA,40344.8025480221,0.50901202410779
"Duncan Channel",2004,69,NA,67.2639152046596,2600.90166287851,81464.5837280146,27814,NA,27694.7400999011,NA,27694.7400999011,0.339861039685286
"Duncan Channel",2005,46,NA,45.701155827564,2810.27001981803,62193.5625230927,31213,0.00624413523578349,31209.4491141931,NA,31209.4491141931,0.502339433631621
"Duncan Channel",2006,64,NA,61.1028981717872,2843.14919584973,93264.6746444718,29707,NA,29770.0023910334,NA,29770.0023910334,0.320260074218181
"Duncan Channel",2007,38,NA,37.9630747044055,2769.22805472539,53898.1367786118,25659,NA,24595.5863846151,NA,24595.5863846151,0.458794570741971
"Duncan Channel",2008,42,NA,42.1192271722798,2798.85074991597,55083.0110506621,27569,NA,23649.4855957341,NA,23649.4855957341,0.439351828901464
"Duncan Channel",2009,51,NA,49.5975106512523,2695.14957170947,57500.8743302497,32161,NA,29650.9923102144,NA,29650.9923102144,0.526689128923259
"Duncan Channel",2010,76,NA,76.1191263427709,2785.83628648317,95754.9319308682,28827,0.0572008975848457,28688.3827304406,NA,28688.3827304406,0.299661767278516
"Duncan Channel",2011,148,NA,149.43359192713,2830.85253781951,215278.552913854,62229,0.0792482911971206,61666.9668845112,NA,61666.9668845112,0.284233767579699
"Duncan Channel",2012,50,NA,52.530472960638,2830.44894644388,75999.4389804964,36160,NA,35751.1895253615,NA,35751.1895253615,0.46430516651757
"Duncan Channel",2013,88,NA,86.969324286662,2638.86253133934,116195.797722425,32090,0.0449701324333537,32184.7786760056,NA,32184.7786760056,0.277437420851475
"Duncan Channel",2014,96,NA,99.9118490584145,2746.70212258616,129368.306504511,48213,NA,43222.6986235681,NA,43222.6986235681,0.333036740010953
"Duncan Channel",2015,182,NA,181.729810315934,2769.27183450331,197827.812626671,65550,0.00388990809675457,65548.9168994793,NA,65548.9168994793,0.331185089656306
"Duncan Channel",2016,268,NA,241.279388887679,2812.43912961776,279148.636067998,NA,NA,82065.0827064682,NA,82065.0827064682,0.29433043911423
"Duncan Channel",2017,75,NA,76.6179225895619,2792.60419463206,100204.022260278,41369,NA,41757.3856771876,NA,41757.3856771876,0.411237573607057
"Duncan Channel",2018,192,NA,183.697061629503,2630.48376419251,185633.751412718,59560,0.0979716719808525,60375.1251845883,NA,60375.1251845883,0.325922667462184
"Duncan Channel",2019,106,NA,105.588774190604,2769.37545680091,126353.744352214,10010,1.23387978673004,13447.7529734395,NA,13447.7529734395,0.0976602854816746
