"pop","A","psi50","psi05","psi95","Mmax50","Mmax05","Mmax95","S50","S05","S95"
"Hamilton Channel",0.4,0.67,0.58,0.78,10.9,3.2,283.2,4276,670,29796
"Hamilton Creek",2,0.39,0.25,0.68,1,0.1,68.2,1646,176,16645
"Ives",1.6,0.47,0.28,0.77,0.7,0.3,24.7,3098,344,31441
"Hardy Creek",0.1,0.32,0.25,0.59,5.8,1.3,63.5,375,41,3971
"Duncan Channel",0.3,0.3,0.25,0.39,2.3,0.3,99.9,170,25,1159
"Horsetail",0.3,0.56,0.34,0.85,0.7,0.3,32.4,476,56,4877
"St Cloud",0.2,0.44,0.27,0.74,1.4,0.4,70.5,320,37,3000
"Multnomah",0.4,0.43,0.25,0.75,1.2,0.5,33.3,1155,126,10265
"I-205",0.2,0.55,0.31,0.85,5.3,3.2,27,3873,503,33683
"Grays CJ",1,0.45,0.34,0.57,2.6,2,7.8,2504,331,18765
"Grays WF",6.7,0.23,0.15,0.33,0.3,0.1,4.2,1173,176,9496
"Grays MS",9.3,0.66,0.24,0.91,0.1,0.1,1.4,1071,151,8925
"Lower Columbia ESU",22.5,0.47,0.33,0.64,1.8,0.6,10.9,24949,4560,162680
