"pop","year","S.med","S.05","S.95","E_hat.med","E_hat.05","E_hat.95","M.med","M.05","M.95","M/E_hat.med","M/E_hat.05","M/E_hat.95","s_MS.med","s_MS.05","s_MS.95","R/S.med","R/S.05","R/S.95","b.med","b.05","b.95","q_3.med","q_3.05","q_3.95","q_4.med","q_4.05","q_4.95","q_5.med","q_5.05","q_5.95","p_HOS.med","p_HOS.05","p_HOS.95","q_F.med","q_F.05","q_F.95"
"Hamilton Channel",2000,310.960430167121,190.432955406294,385.741399955204,273072.833228895,140803.290764064,495181.670497955,192863.402893441,61411.2444892131,660518.31561962,0.54162937493141,0.306718226230034,0.967648521935739,0.00359723068485295,0.00106750648767552,0.0111981109919205,0.300619531816391,0.225769003443114,0.498406136305932,0,0,0,0.309871587819866,0.0284390939893783,0.785108824666797,0.289025271396841,0.0217786915734932,0.78073623957972,0.282878105051295,0.0261748349818463,0.757524900989665,0,0,0,0.335495829612122,0.165854511390043,0.624899982283792
"Hamilton Channel",2001,604.925175984668,376.84739726811,747.521122328055,604632.956695975,374630.805356753,946662.245165514,146948.881835737,101212.944126792,211601.133000791,0.924289251990787,0.592592534509844,1.50312945887913,0.000631026410539982,0.000421025060943688,0.00092579201959402,0.299462820520634,0.237996861535929,0.47433567781424,0,0,0,0.309447849294804,0.0315634094198227,0.779033940617174,0.291056043765643,0.028373599260989,0.761361692389108,0.284392796418655,0.0289371154889976,0.760788255603905,7.43256355073227e-05,6.00609871445929e-06,0.000383908172784066,0.378995709934658,0.224371872167951,0.632190189694356
"Hamilton Channel",2002,803.634642772143,696.783024452414,999.36183757203,992479.996850923,843883.377969681,1233735.95460432,559446.548835822,525544.342961001,595770.902662806,0.458035684935621,0.368276370946077,0.5424003429297,0.000320731080961222,0.000283408725229927,0.000359579543357742,0.296976435501072,0.240730498301686,0.349847318685877,0,0,0,0.382820750591556,0.346444316090257,0.420363749775004,0.582894513538344,0.544615623793383,0.619939126419588,0.0337012916387073,0.0219271555288059,0.0497019414968801,0.000108720719831646,9.02392133806728e-06,0.000485642009058744,0.447333580097881,0.409745301973828,0.483381639057619
"Hamilton Channel",2003,401.959517967792,382.954468827333,422.195636202792,648828.915360171,596998.539682259,705486.752070176,455023.297691433,421295.776646669,488813.835395176,0.598055981853713,0.548109691228636,0.653981765105176,0.000527543692574292,0.000476956445136215,0.000584180734785204,0.111015424459371,0.0860842595552739,0.144587915328623,0,0,0,0.042909655527547,0.0271358900178083,0.0630158266820122,0.868122677542054,0.835692993997459,0.896801151822502,0.0884052659586299,0.0641333735002481,0.116938396519145,0.000403253360925362,3.19321231757742e-05,0.00178023328335286,0.566975585079886,0.52756145001414,0.607561887605157
"Hamilton Channel",2004,221.425723971045,212.605515197672,230.992517994216,273160.798076361,244606.144274088,303479.512279514,388025.216356072,375666.21333072,400899.777755922,0.588696211087254,0.522937362051088,0.665907210893114,0.000114798231525313,8.92163207510531e-05,0.000150155282053265,0.348777899424949,0.296458105480172,0.407910394362894,0,0,0,0.507510136930527,0.448993435108682,0.566462510426359,0.326286159095996,0.274264118929655,0.383512063114509,0.164055313290441,0.123214121026732,0.209921223803175,0.00112325297472728,0.000299006946618626,0.00317021447468512,0.454157944152246,0.408523025554468,0.498721890195726
"Hamilton Channel",2005,89.3847568139772,84.7050467370266,94.2217926586581,103864.307947754,87872.6941330278,121770.304051496,160798.423279306,151598.960632897,170371.003075736,0.969867139876511,0.82422201170121,1.15726592624556,0.000480895515266136,0.000405685743139062,0.000565514805183559,1.03641492617917,0.885779878656613,1.19759718366831,0,0,0,0.22623239822369,0.121293352903238,0.363147951779469,0.744288161108825,0.607502240265729,0.85547694840741,0.0239934305546101,0.00635063766661041,0.0670695298562173,0.0542090596082544,0.0323287669256897,0.0866044767511449,0.41629783459942,0.352652892066078,0.484031521049938
"Hamilton Channel",2006,227.956464454835,222.908063967181,232.986807530827,217656.157521955,154596.967896797,288403.881504993,100913.682911781,92553.9174629611,109966.797586974,0.75975497380713,0.597210712137425,0.974989752637274,0.00091834001946239,0.000772823146847578,0.00107583786990092,0.852668816331421,0.778544820001986,0.926919243996724,0,0,0,0.0346859794082841,0.00649894795530783,0.100094783876769,0.95449592543567,0.888175734224049,0.985957166884846,0.00794610709159113,0.00208528960460013,0.0275093506142635,0.00393937215863218,0.00153648796478807,0.00885257462301898,0.335477347229879,0.23853947631208,0.442988418599504
"Hamilton Channel",2007,51.4184623498261,44.9506569102348,58.652682706511,49736.6915640733,37105.7106054025,64795.7844282747,164718.912438221,110582.573455428,232549.035503961,0.572968686107187,0.439067515946171,0.739849299519828,0.00117893994031989,0.000824476897553055,0.001763562968074,6.36386086427338,5.1049740873229,7.98790164417999,0,0,0,0.164223194841034,0.0920569393697864,0.261267023571076,0.645883395636306,0.530657221593579,0.74783394158731,0.183328680282992,0.107529098700729,0.286074482439851,0.0131079885036812,0.00518992696277205,0.0292134446802166,0.344446625072802,0.263974568968915,0.435709613902772
"Hamilton Channel",2008,112.954213026905,103.746924107638,122.902660691304,98362.485495553,79439.6419096129,119969.921564409,28455.8838610685,20042.288676143,39510.1595095462,1.12863333592539,0.904629189475558,1.43958452769038,0.0115171265078185,0.00801701893671443,0.0170471212394004,2.77956220864714,2.16950435125155,3.7448172127105,0,0,0,0.384638221295096,0.309162733700416,0.464173981675461,0.568817171561223,0.488088335746787,0.645745298436099,0.0433233273341141,0.0210835123200601,0.0873554584386453,0.0147433273635017,0.00743747135453437,0.0256783262105156,0.317757403561376,0.258369813841365,0.377894855063547
"Hamilton Channel",2009,93.8265722556334,89.5301103907252,98.334095707132,98210.6512004699,83736.6055167618,114809.334935036,111332.865712123,82776.8027509413,150041.84807381,0.963602391508303,0.750732983986246,1.24196401797621,0.00284003622023018,0.00199830733757329,0.00412002607286429,0.789316148851443,0.600751343692612,1.01733918281797,0,0,0,0.411916049648653,0.330355179409925,0.496446062187291,0.526151798729641,0.443940576151878,0.612175932155422,0.0581288034697296,0.0279436488562679,0.103381232728086,0.0563332272203878,0.0320858502465343,0.0915833700792385,0.382070271106884,0.329232437739639,0.44168370666398
"Hamilton Channel",2010,190.107373780386,181.601363370427,199.043230987168,258250.266185388,226969.395157536,290640.601046722,94617.0733175882,72389.0838547505,124513.678460944,0.637839834278594,0.562236617187205,0.729784931517631,0.000777461745655473,0.000568505409531728,0.00107534393782443,4.32869151299631,3.84173581417712,4.87276080980624,0,0,0,0.17158179731399,0.125953986366349,0.223940105284228,0.814921734937397,0.762693584226426,0.860801251252442,0.0116803714922793,0.00398064404558037,0.0278574910311933,0.00372372206007289,0.0011800540997767,0.00968409863931298,0.48369222388001,0.425658100425086,0.540109370749887
"Hamilton Channel",2011,293.920979902874,242.199633610401,351.704292645002,540794.341536226,446977.981371624,642504.853337046,164515.242473843,158234.473919523,171386.588806645,0.820352793115066,0.694437335153102,0.982327878551241,0.00500415900007144,0.00445964591981757,0.00561473375106934,4.28350880784445,3.43168497425052,5.33733551038015,0,0,0,0.0703833210413978,0.0472662518254428,0.0993154110314622,0.883569243726826,0.848426520824262,0.912581758988258,0.0453896823069364,0.0278311552301017,0.0682238991938651,0.00058875053119639,9.34158811641609e-05,0.00222651550864007,0.647689894174196,0.600068413037854,0.693612223109919
"Hamilton Channel",2012,334.154091455878,264.002422804867,459.021751003982,569551.793304332,461028.262960177,771776.36350022,442869.440547422,418915.08950859,468545.065316958,0.868594540888595,0.738106388715262,1.03151656841558,0.00283462333513708,0.00245356805367744,0.00324690923603421,4.36945963854097,3.2439436790929,5.48725094955898,0,0,0,0.0206740474566856,0.00704383192411372,0.0492879496337567,0.821492177147604,0.748961423150575,0.879763470894614,0.153759103946101,0.0989393428990469,0.226808003649354,0.000868792901861398,0.000196125087981964,0.00263711852029433,0.601199734426136,0.526183842413163,0.677016076279061
"Hamilton Channel",2013,375.29713636414,362.314179040521,389.352125117014,437340.569812011,385302.142543238,492555.334100612,480306.491869935,433215.609936526,666834.919701984,0.474055583406982,0.418528953608833,0.536737548248493,0.00298299812828614,0.00219261089234941,0.00347336685027283,1.28831441984863,1.04076114056047,1.57568662584188,0.0152507467232833,0.00109394341066546,0.0535084927469474,0.779021553636423,0.719699199465392,0.830809496303608,0.167908243113681,0.126069344699733,0.219229924205951,0.050879500734874,0.0249323821550583,0.0911373008848961,0.00499145831159708,0.00194055047469645,0.011713151257641,0.441141233661042,0.390382579827866,0.49581578558883
"Hamilton Channel",2014,598.934899406684,541.400577848002,666.094334645656,738795.9405585,637156.858190931,855087.772404216,206931.375714819,201574.984701638,212400.982676015,0.694251834710308,0.590019698642349,0.846195982497186,0.00233550205362176,0.00189595502251449,0.00285053172146106,0.767061565441172,0.586779250275958,0.984619967250707,0.00460247012502509,0.000360826063090491,0.01910788508946,0.277969359338528,0.207071011787684,0.357758711467738,0.715257615009887,0.636015464661041,0.786617095854122,0.00522035736239247,0.00133404755813395,0.0159129566225695,0.00626360592177177,0.0032462133103141,0.0114269619474284,0.443676925764644,0.394216488108881,0.495373643143654
"Hamilton Channel",2015,1398.78399847909,1274.11079322244,1529.89788073475,1604178.02067367,1376931.66229554,1860874.67535965,503543.873408358,458914.995239373,621524.218606477,0.48161005855459,0.41189371880658,0.561311604804182,0.000893889675897968,0.000662616373518447,0.00117538993036536,1.05820102773791,0.927078617296194,1.2005012168096,0.00454936205446724,0.000380129947451227,0.0150874247433957,0.247204582591285,0.190394167367986,0.311970373795761,0.674951496118229,0.60581682654822,0.737280382367601,0.0766604738414265,0.0455772312648354,0.117459448433443,0.00327183044941234,0.00137831616981117,0.00725070599419901,0.412101087869252,0.358969785542133,0.467058055750993
"Hamilton Channel",2016,1250.64861764085,1227.69757431005,1275.24669844897,1199113.76307189,980733.409346156,1436187.70088238,772361.884016398,728338.691834875,817594.301729702,0.491457036557882,0.401338966416776,0.593531850428244,0.00192118523493171,0.00169479921893674,0.00214878464107306,0.215808156776752,0.174373066250486,0.264872847888372,0.0134456868246193,0.00119987207396313,0.0442538472793258,0.143180881575356,0.0917292922084707,0.212414490142354,0.726471918266154,0.641698985505617,0.802236587966048,0.12592032438498,0.0714996553612943,0.197727902648657,0.00684023420557539,0.00334677703339881,0.0123687201420482,0.339682754543793,0.278013077974557,0.407130258703928
"Hamilton Channel",2017,691.385430676679,679.690171231071,703.244880066545,753354.489806632,645112.181199027,869705.784271585,587475.105507066,464932.29393354,736217.937540096,0.495028224183899,0.427844866123934,0.578897262484835,0.000460103405979829,0.0003474393036296,0.000610198317986379,1.18143142411606,0.958487176352869,1.43309458130871,0.0923563888742031,0.0739658335824254,0.106707944103264,0.316447748590248,0.239984847843517,0.40081057795281,0.39092047153575,0.310998087781839,0.473457181178973,0.287720711465928,0.214278411124844,0.370691338096965,0.00309114913732945,0.0013656941192516,0.00629502846436696,0.39314566892407,0.33640357155885,0.452605884111
"Hamilton Channel",2018,1471.71291245489,1359.7588022862,1590.50490742264,878863.742846588,704676.371729839,1121193.97559229,372877.464577753,365862.787326566,379947.680050595,0.735847028548356,0.586121799815763,0.898803633801858,0.00218912626319645,0.00177651719625431,0.00265813126268973,1.1099155179804,0.925241847259256,1.33410629122383,0.0106338558252548,0.00102966588094758,0.0285112272207281,0.845205731902904,0.763900593429622,0.908329580293838,0.146832194952845,0.0844775106590912,0.228052670791884,0.00593499477464731,0.00141002145810701,0.0189478868631982,0.00663002573385329,0.00354291315222352,0.011753373009804,0.228473553068094,0.18363469445482,0.291311786911495
"Hamilton Channel",2019,333.344986889245,320.034767126107,347.474734212969,255533.248672571,202778.222957767,313914.109290291,645599.290634617,578239.342375227,721811.230642142,0.318124987178662,0.25490133760661,0.397611530140104,0.00252728686660677,0.00207450875777915,0.00308955546735694,1.62891747154598,1.02252111975966,2.63051405502808,0.0171171265111582,0.00120362066964271,0.0587447468147335,0.267573082478019,0.169531041235664,0.379769098375574,0.712532483070667,0.599257314281989,0.814077737482371,0.0156872637759284,0.00444049484329164,0.0505834784725146,0.0133201158731615,0.0059312941102269,0.0268952453572488,0.275627652989313,0.219613137606733,0.339811465098589
"Hamilton Channel",2020,413.402260345488,385.97188430144,443.679131514505,455087.907178407,373300.619660159,544992.687323568,80757.3168320618,61544.7459660899,106628.075506565,0.923398928144866,0.762045828265233,1.13833910008207,0.0067310465025208,0.00420119526774772,0.0108221395264581,9.6834054758154,5.22607685234362,17.9376734551667,0,0,0,0.610377191173904,0.511098006306645,0.708293260016853,0.375930185064431,0.279186300659424,0.474640101573072,0.0109651677112973,0.00286247809037008,0.0340346040754153,0.0110168277462969,0.00527604595811633,0.0205304443907626,0.409677061778409,0.337275190666795,0.483970872521026
"Hamilton Channel",2021,1426.01658802558,1210.77003911865,1678.89930375007,1564570.12811706,1270864.43939827,1938546.17197617,419243.821329831,386857.607024177,454353.612655714,0.837104372162095,0.640145309938236,1.12098569759217,0.00955126291688296,0.00522366489648748,0.0176666298056685,6.66358480241435,2.86886962733258,14.8468434139813,0.00919404652387089,0.000677383055166285,0.0317589276150371,0.593985180691814,0.497951081318726,0.683055672208464,0.380725629809228,0.292666910013691,0.475513348416682,0.0221086289999134,0.00719400284140334,0.0530528312517091,0.0227072271966644,0.0128339528175062,0.0380005145507926,0.409991335422798,0.351255050435811,0.466526766225942
"Hamilton Channel",2022,1032.72937844471,897.747507083886,1187.21933879672,1256178.42649219,1026428.28413861,1528727.413924,1313228.19284223,1087220.44519135,1605018.16286707,0.821504700355385,0.663927466981516,1.01662391992118,0.00719461656027826,0.00319712668283926,0.0158806323984436,2.49270995327675,0.439668320013479,14.0111277234574,0.0268050392102142,0.00241631907777371,0.0636621330998049,0.239790348332905,0.174448044441822,0.309230585781571,0.732405119377641,0.660275408559276,0.80342751887931,0.0246893561186216,0.00744503630641928,0.0561162044811258,0.015587058643331,0.0079822613667362,0.0284657310024583,0.437380040029795,0.37472239386321,0.501118733016587
"Hamilton Channel",2023,1141.00237854196,1037.79709989751,1250.92228923956,1289839.35837266,929419.330963056,1725066.32772493,1032877.0882893,955758.98241567,1111348.03221298,0.581171200314698,0.43019462448291,0.806507365305096,0.00246593710106454,0.000443112816749357,0.0136379572635063,1.70002042725034,0.248082228709119,12.6464020807845,0,0,0,0.687482459100196,0.367108235432203,0.876276460062465,0.253231388214021,0.0857699404465971,0.530769786824948,0.0359433676523842,0.00733593443851271,0.199128277210087,0.014008611590472,0.00580249777768235,0.0289600821346101,0.423631811487514,0.306826282929995,0.558388053198489
