,Mouth of Columbia River,Grays_CJ,Grays_MS,Grays_WF,I-205 (Cascade_MS),Duncan_Creek,Hamilton_Channel,Hamilton_Creek,Hardy_Creek,Horsetail,Ives,Multnomah,St_Cloud,Lewis_Hatchery_release,Skamokawa_Hatchery_release,Petersen_RSI,Chinook,Elochoman,Skamokawa,Mill,Abernathy,Germany,Lower Cowlitz,Coweeman,SF Toutle,NF Toutle,Kalama,NF Lewis (below Merwin),EF Lewis,Salmon,Washougal,Upper Gorge,White Salmon
Mouth of Columbia River,0,197335.4109,128209.2356,194772.74,584613.4519,721585.055,740342.351,734687.6608,729159.2706,707828.8978,733002.6779,697487.7425,700920.4461,497687.514,193941.0813,92115.6407,31689.06624,184633.9521,165161.489,272129.9727,273888.3875,284084.8415,351066.5366,357628.5449,541704.1827,541704.1827,374008.7106,498184.7561,464828.7889,497830.9769,618585.2695,749665.8342,868340.6836
Grays_CJ,197335.4109,0,69126.17534,2562.67096,573189.5665,710161.1696,728918.4656,723263.7754,717735.3852,696405.0124,721578.7925,686063.8571,689496.5607,486263.6286,182517.1959,153613.1214,218699.2401,173210.0667,153737.6036,260706.0873,262464.5022,272660.9561,339642.6512,346204.6595,530280.2973,530280.2973,362584.8252,486760.8707,453404.9035,486407.0915,607161.3841,738241.9488,856916.7982
Grays_MS,128209.2356,69126.17534,0,66563.50438,504063.3912,641034.9942,659792.2903,654137.6001,648609.2098,627278.8371,652452.6172,616937.6818,620370.3854,417137.4532,113391.0206,84486.94603,149573.0647,104083.8914,84611.42823,191579.912,193338.3268,203534.7808,270516.4758,277078.4842,461154.122,461154.122,293458.6499,417634.6954,384278.7281,417280.9161,538035.2088,669115.7734,787790.6229
Grays_WF,194772.74,2562.67096,66563.50438,0,570626.8956,707598.4986,726355.7946,720701.1044,715172.7142,693842.3415,719016.1215,683501.1861,686933.8898,483700.9576,179954.525,151050.4504,216136.5691,170647.3958,151174.9326,258143.4163,259901.8312,270098.2852,337079.9802,343641.9886,527717.6264,527717.6264,360022.1543,484198.1998,450842.2325,483844.4205,604598.7131,735679.2778,854354.1273
I-205 (Cascade_MS),584613.4519,573189.5665,504063.3912,570626.8956,0,136971.603,155728.8991,150074.2089,144545.8186,123215.4459,148389.226,112874.2906,116306.9942,192600.0346,452282.1105,540891.1624,605977.2811,419007.0802,423502.5181,314379.9406,313019.0261,303070.8918,244707.7345,251269.7429,435345.3807,435345.3807,213113.9433,193097.2767,159741.3095,188323.9646,33971.81756,165052.3822,283727.2317
Duncan_Creek,721585.055,710161.1696,641034.9942,707598.4986,136971.603,0,22111.26199,16456.57178,10928.18157,13756.15717,14771.58889,24097.31247,21350.56646,329571.6376,589253.7135,677862.7654,742948.8841,555978.6832,560474.1212,451351.5436,449990.6291,440042.4949,381679.3376,388241.3459,572316.9837,572316.9837,350085.5464,330068.8798,296712.9125,325295.5677,104270.8552,31434.74517,150109.5946
Hamilton_Channel,740342.351,728918.4656,659792.2903,726355.7946,155728.8991,22111.26199,0,5654.690203,13343.62791,32513.45319,7339.673095,42854.6085,40107.86248,348328.9336,608011.0095,696620.0614,761706.1801,574735.9792,579231.4172,470108.8396,468747.9252,458799.7909,400436.6336,406998.642,591074.2798,591074.2798,368842.8424,348826.1758,315470.2085,344052.8637,123028.1513,24195.01626,142869.8657
Hamilton_Creek,734687.6608,723263.7754,654137.6001,720701.1044,150074.2089,16456.57178,5654.690203,0,7688.937703,26858.76299,1684.982892,37199.91829,34453.17228,342674.2434,602356.3193,690965.3712,756051.4899,569081.289,573576.727,464454.1494,463093.235,453145.1007,394781.9434,401343.9517,585419.5896,585419.5896,363188.1522,343171.4856,309815.5183,338398.1735,117373.4611,18540.32606,137215.1755
Hardy_Creek,729159.2706,717735.3852,648609.2098,715172.7142,144545.8186,10928.18157,13343.62791,7688.937703,0,21330.37277,6003.954811,31671.52808,28924.78207,337145.8532,596827.9291,685436.981,750523.0997,563552.8988,568048.3368,458925.7592,457564.8448,447616.7105,389253.5532,395815.5615,579891.1993,579891.1993,357659.762,337643.0954,304287.1281,332869.7833,111845.0708,24741.7736,143416.623
Horsetail,707828.8978,696405.0124,627278.8371,693842.3415,123215.4459,13756.15717,32513.45319,26858.76299,21330.37277,0,25173.7801,10341.15531,7594.409294,315815.4804,575497.5564,664106.6082,729192.7269,542222.526,546717.964,437595.3864,436234.472,426286.3377,367923.1804,374485.1888,558560.8266,558560.8266,336329.3892,316312.7226,282956.7553,311539.4105,90514.69807,41836.93638,160511.7858
