Stock,BY,Female #,Age,Reproductive Effort,Estimated Fecundity ,L95%,U95%,Green egg avg weight,Comments
Lower Gorge,2001,F-1,3,14.3,2467,2508,2426,0.1690,
Lower Gorge,2001,F-2,4,9.1,1302,1311,1293,0.2700,
Lower Gorge,2001,F-3,4,15.4,2555,2582,2528,0.2920,
Lower Gorge,2001,F-4,4,14.8,1830,1863,1797,0.2650,
Lower Gorge,2001,F-5,3,19.0,2774,2871,2677,0.2550,
Lower Gorge,2001,F-6,4,19.8,2515,2531,2499,0.2750,
Lower Gorge,2001,F-7,4,20.2,2339,2425,2253,0.2700,
Lower Gorge,2001,F-8,3,19.8,2593,2632,2554,0.2390,
Lower Gorge,2001,F-9,3,20.9,2964,2982,2946,0.2460,
Lower Gorge,2001,F-10,3,18.8,2434,2476,2392,0.2360,
Lower Gorge,2001,F-11,3,18.8,2841,2867,2815,0.2250,
Lower Gorge,2001,F-12,3,17.8,2750,2797,2703,0.2150,
Lower Gorge,2001,F-13,3,20.5,2905,2962,2848,0.2160,
Lower Gorge,2001,F-14,3,19.9,2905,2932,2878,0.2440,
Lower Gorge,2001,F-15,3,19.9,2612,2623,2601,0.2160,
Lower Gorge,2001,F-16,4,20.1,3039,3069,3009,0.2710,
Lower Gorge,2001,F-17,3,20.2,2688,2711,2665,0.2280,
Lower Gorge,2001,F-18,4,17.7,2244,2265,2223,0.2630,
Lower Gorge,2001,F-19,4,21.7,3077,3094,3060,0.2450,
Lower Gorge,2001,F-20,4,21.7,2605,2614,2596,0.2650,
Lower Gorge,2001,F-21,4,11.7,1626,1691,1561,0.2650,
Lower Gorge,2001,F-22,4,17.9,1613,1625,1601,0.2750,
Lower Gorge,2001,F-23,4,21.0,2943,NA,NA,0.2710,all eggs dead when picked
Lower Gorge,2002,F-1,4,17.3,3046,3078,3014,0.3020,
Lower Gorge,2002,F-2,4,13.1,3114,3114,3114,0.2970,
Lower Gorge,2002,F-3,4,18.7,2894,2924,2864,0.3570,
Lower Gorge,2002,F-4,4,10.4,1647,1703,1591,0.2670,
Lower Gorge,2002,F-5,4,16.4,3138,3193,3083,0.3120,
Lower Gorge,2002,F-6,4,20.5,2602,2640,2564,0.2710,
Lower Gorge,2002,F-7,4,15.1,2717,2735,2699,0.2650,
Lower Gorge,2002,F-8,4,14.7,3170,3274,3066,0.2650,
Lower Gorge,2002,F-9,4,19.7,3632,3647,3617,0.2860,
Lower Gorge,2002,F-10,4,18.2,3840,3857,3823,0.2880,
Lower Gorge,2002,F-11,4,16.9,3227,3260,3194,0.2880,
Lower Gorge,2002,F-12,4,14.5,2402,2411,2393,0.2390,
Lower Gorge,2002,F-13,4,18.5,3773,3799,3747,0.2790,
Lower Gorge,2002,F-14,4,21.1,3295,3311,3279,0.2700,
Lower Gorge,2002,F-15,3,18.3,2841,2866,2816,0.2170,
Lower Gorge,2002,F-16,4,17.1,2935,3029,2841,0.2560,
Lower Gorge,2002,F-17,3,20.8,2735,2755,2715,0.2550,
Lower Gorge,2002,F-18,4,16.5,3623,3686,3560,0.2700,
Lower Gorge,2002,F-19,4,19.0,3673,3701,3645,0.3000,
Lower Gorge,2002,F-20,4,18.5,3774,3794,3754,0.2400,
Lower Gorge,2002,F-21,4,17.5,2906,2927,2885,0.2240,
Lower Gorge,2002,F-22,4,20.0,3564,3590,3538,0.2390,
Lower Gorge,2002,F-23,4,11.6,2367,2385,2349,0.2430,
Lower Gorge,2002,F-24,3,5.7,591,593,589,0.2430,
Lower Gorge,2002,F-25,3,18.6,3166,3189,3143,0.2480,
Lower Gorge,2002,F-26,4,18.5,3243,3271,3215,0.2830,
Lower Gorge,2002,F-27,4,20.0,2434,2443,2425,0.2480,
Lower Gorge,2002,F-28,4,19.7,3444,3465,3423,0.2850,
Lower Gorge,2002,F-29,5,14.1,1992,2006,1978,0.3240,
Lower Gorge,2002,F-30,4,17.7,2679,2696,2662,0.2640,
Lower Gorge,2002,F-31,4,16.5,2998,3020,2976,0.2610,
Lower Gorge,2002,F-32,4,14.8,2521,2531,2511,0.2790,
Lower Gorge,2002,F-33,3,15.7,2985,3063,2907,0.2610,
Lower Gorge,2002,F-34,3,15.0,2097,2140,2054,0.2170,
Lower Gorge,2002,F-35,3,22.7,2323,2336,2310,0.2210,
Lower Gorge,2002,F-36,4,14.3,3527,3562,3492,0.2410,
Lower Gorge,2002,F-37,3,24.5,2824,2844,2804,0.2460,
Lower Gorge,2002,F-38,3,17.0,2818,2852,2784,0.2250,
Lower Gorge,2002,F-39,3,16.5,3449,3496,3402,0.2140,
Lower Gorge,2002,F-40,3,17.2,3088,3103,3073,0.2350,
Lower Gorge,2002,F-41,3,14.7,2067,2075,2059,0.2280,
Lower Gorge,2002,F-42,4,15.9,3033,3073,2993,0.2880,
Lower Gorge,2002,F-43,4,14.6,2481,2500,2462,0.3200,
Lower Gorge,2002,F-44,4,19.6,2891,2933,2849,0.3000,
Lower Gorge,2002,F-45,3,17.1,2836,2847,2825,0.2330,
Lower Gorge,2002,F-46,3,15.2,2863,2887,2839,0.2270,
Lower Gorge,2002,F-47,4,15.9,3501,3526,3476,0.2730,
Lower Gorge,2002,F-48,4,7.8,1322,1337,1307,0.2540,
Lower Gorge,2002,F-49,3,19.7,2631,2646,2616,0.2380,
Lower Gorge,2002,F-50,3,21.3,3643,3668,3618,0.2300,
Lower Gorge,2002,F-51,4,19.7,3099,3114,3084,0.2770,
Lower Gorge,2002,F-52,5,18.5,3166,3196,3136,0.3150,
Lower Gorge,2002,F-53,3,16.1,1995,2002,1988,0.2370,
Lower Gorge,2002,F-54,4,17.6,2876,2916,2836,0.2560,
Lower Gorge,2002,F-55,4,18.1,3153,3160,3146,0.2720,
Lower Gorge,2002,F-56,4,17.4,3073,3254,2892,0.2790,
Lower Gorge,2002,F-57,3,18.3,3310,3342,3278,0.2040,
Lower Gorge,2002,F-58,4,16.2,2728,2758,2698,0.2390,
Lower Gorge,2002,F-59,4,20.4,3073,3104,3042,0.2480,
Lower Gorge,2002,F-60,4,17.7,2539,2557,2521,0.3280,
Lower Gorge,2002,F-61,3,16.9,2641,2646,2636,0.2590,
Lower Gorge,2002,F-62,3,20.6,1844,1852,1836,0.2380,
Lower Gorge,2002,F-63,4,19.9,2872,2890,2854,0.2740,
Lower Gorge,2002,F-64,3,18.4,2369,2386,2352,0.2420,
Lower Gorge,2002,F-65,88,16.1,2841,2862,2820,0.2860,
Lower Gorge,2002,F-66,4,18.0,2694,2711,2677,0.2580,
Lower Gorge,2002,F-67,3,12.2,1491,1502,1480,0.2590,
Lower Gorge,2002,F-68,3,15.4,2259,2271,2247,0.2260,
Lower Gorge,2002,F-69,4,20.5,2228,2252,2204,0.2540,
Lower Gorge,2002,F-70,4,14.4,2584,2597,2571,0.2700,
Lower Gorge,2002,F-71,4,19.4,3001,3017,2985,0.3080,
Lower Gorge,2002,F-72,4,16.8,3071,3086,3056,0.2960,
Lower Gorge,2002,F-73,4,18.0,3355,3370,3340,0.2430,
Lower Gorge,2002,F-74,4,13.3,1896,1934,1858,0.2780,
Lower Gorge,2002,F-75,4,15.5,2654,2673,2635,0.2950,
Lower Gorge,2002,F-76,4,17.2,3395,3409,3381,0.2740,
Lower Gorge,2002,F-77,4,8.9,1696,1711,1681,0.2520,
Lower Gorge,2002,F-78,3,15.1,2569,2776,2362,0.2580,
Lower Gorge,2002,F-79,4,11.6,2122,2132,2112,0.2730,
