Return.Yr.,Strata,Location.Reach,Habitat_Length_miles
2019,Cascade,I205,0.15
2019,Coastal,Grays_CJ,1.04
2019,Coastal,Grays_MS,5.76
2019,Coastal,Grays_WF,4.18
2019,Gorge,Duncan_Creek,0.21
2019,Gorge,Hamilton_Channel,0.25
2019,Gorge,Hamilton_Creek,1.22
2019,Gorge,Hardy_Creek,0.07
2019,Gorge,Horsetail,0.16
2019,Gorge,Ives,1.01
2019,Gorge,Multnomah,0.24
2019,Gorge,St_Cloud,0.12
2018,Cascade,I205,0.15
2018,Coastal,Grays_CJ,1.04
2018,Coastal,Grays_MS,5.76
2018,Coastal,Grays_WF,4.18
2018,Gorge,Duncan_Creek,0.21
2018,Gorge,Hamilton_Channel,0.25
2018,Gorge,Hamilton_Creek,1.22
2018,Gorge,Hardy_Creek,0.07
2018,Gorge,Horsetail,0.16
2018,Gorge,Ives,1.01
2018,Gorge,Multnomah,0.24
2018,Gorge,St_Cloud,0.12
2017,Cascade,I205,0.15
2017,Coastal,Grays_CJ,1.04
2017,Coastal,Grays_MS,5.76
2017,Coastal,Grays_WF,4.18
2017,Gorge,Duncan_Creek,0.21
2017,Gorge,Hamilton_Channel,0.25
2017,Gorge,Hamilton_Creek,1.22
2017,Gorge,Hardy_Creek,0.07
2017,Gorge,Horsetail,0.16
2017,Gorge,Ives,1.01
2017,Gorge,Multnomah,0.24
2017,Gorge,St_Cloud,0.12
2016,Cascade,I205,0.15
2016,Coastal,Grays_CJ,1.04
2016,Coastal,Grays_MS,5.76
2016,Coastal,Grays_WF,4.18
2016,Gorge,Duncan_Creek,0.21
2016,Gorge,Hamilton_Channel,0.25
2016,Gorge,Hamilton_Creek,1.22
2016,Gorge,Hardy_Creek,0.07
2016,Gorge,Horsetail,0.16
2016,Gorge,Ives,1.01
2016,Gorge,Multnomah,0.24
2016,Gorge,St_Cloud,0.12
2015,Cascade,I205,0.15
2015,Coastal,Grays_CJ,1.04
2015,Coastal,Grays_MS,5.76
2015,Coastal,Grays_WF,4.18
2015,Gorge,Duncan_Creek,0.21
2015,Gorge,Hamilton_Channel,0.25
2015,Gorge,Hamilton_Creek,1.22
2015,Gorge,Hardy_Creek,0.07
